,HDI Rank (2017),Country,HDI_Score
0,168,Afghanistan,0.498
1,68,Albania,0.785
2,85,Algeria,0.754
3,35,Andorra,0.858
4,147,Angola,0.581
5,70,Antigua and Barbuda,0.78
6,47,Argentina,0.825
7,83,Armenia,0.755
8,3,Australia,0.9390000000000001
9,20,Austria,0.9079999999999999
10,80,Azerbaijan,0.757
11,54,Bahamas,0.807
12,43,Bahrain,0.846
13,136,Bangladesh,0.608
14,58,Barbados,0.8
15,53,Belarus,0.8079999999999999
16,17,Belgium,0.9159999999999999
17,106,Belize,0.708
18,163,Benin,0.515
19,134,Bhutan,0.612
20,118,Bolivia,0.693
21,77,Bosnia and Herzegovina,0.768
22,101,Botswana,0.7170000000000001
23,79,Brazil,0.759
24,39,Brunei Darussalam,0.853
25,51,Bulgaria,0.813
26,183,Burkina Faso,0.423
27,185,Burundi,0.41700000000000004
28,125,Cabo Verde,0.654
29,146,Cambodia,0.5820000000000001
30,151,Cameroon,0.556
31,12,Canada,0.9259999999999999
32,188,Central African Republic,0.36700000000000005
33,186,Chad,0.40399999999999997
34,44,Chile,0.843
35,86,China,0.752
36,90,Colombia,0.747
37,165,Comoros,0.503
38,137,Republic of the Congo,0.606
39,176,Democratic Republic of the Congo,0.457
40,63,Costa Rica,0.794
41,46,Croatia,0.831
42,73,Cuba,0.777
43,32,Cyprus,0.8690000000000001
44,27,Czech Republic,0.888
45,170,Ivory Coast,0.49200000000000005
46,11,Denmark,0.929
47,172,Djibouti,0.47600000000000003
48,103,Dominica,0.715
49,94,Dominican Republic,0.736
50,86,Ecuador,0.752
51,115,Egypt,0.696
52,121,El Salvador,0.674
53,141,Equatorial Guinea,0.591
54,179,Eritrea,0.44
55,30,Estonia,0.871
56,144,Eswatini (Kingdom of),0.588
57,173,Ethiopia,0.46299999999999997
58,92,Fiji,0.741
59,15,Finland,0.92
60,24,France,0.9009999999999999
61,110,Gabon,0.7020000000000001
62,174,Gambia,0.46
63,70,Georgia,0.78
64,5,Germany,0.9359999999999999
65,140,Ghana,0.5920000000000001
66,31,Greece,0.87
67,75,Grenada,0.772
68,127,Guatemala,0.65
69,175,Guinea,0.45899999999999996
70,177,Guinea-Bissau,0.455
71,125,Guyana,0.654
72,168,Haiti,0.498
73,133,Honduras,0.617
74,7,"Hong Kong S.A.R., China",0.9329999999999999
75,45,Hungary,0.838
76,6,Iceland,0.935
77,130,India,0.64
78,116,Indonesia,0.6940000000000001
79,60,Iran,0.7979999999999999
80,120,Iraq,0.685
81,4,Ireland,0.938
82,22,Israel,0.903
83,28,Italy,0.88
84,97,Jamaica,0.732
85,19,Japan,0.909
86,95,Jordan,0.735
87,58,Kazakhstan,0.8
88,142,Kenya,0.59
89,134,Kiribati,0.612
90,22,South Korea,0.903
91,56,Kuwait,0.8029999999999999
92,122,Kyrgyzstan,0.672
93,139,Lao People's Democratic Republic,0.601
94,41,Latvia,0.847
95,80,Lebanon,0.757
96,159,Lesotho,0.52
97,181,Liberia,0.435
98,108,Libya,0.706
99,17,Liechtenstein,0.9159999999999999
100,35,Lithuania,0.858
101,21,Luxembourg,0.904
102,161,Madagascar,0.519
103,171,Malawi,0.47700000000000004
104,57,Malaysia,0.802
105,101,Maldives,0.7170000000000001
106,182,Mali,0.42700000000000005
107,29,Malta,0.878
108,106,Marshall Islands,0.708
109,159,Mauritania,0.52
110,65,Mauritius,0.79
111,74,Mexico,0.774
112,131,Micronesia (Federated States of),0.627
113,112,Moldova,0.7
114,92,Mongolia,0.741
115,50,Montenegro,0.8140000000000001
116,123,Morocco,0.667
117,180,Mozambique,0.43700000000000006
118,148,Myanmar,0.578
119,129,Namibia,0.647
120,149,Nepal,0.574
121,10,Netherlands,0.9309999999999999
122,16,New Zealand,0.917
123,124,Nicaragua,0.6579999999999999
124,189,Niger,0.354
125,157,Nigeria,0.532
126,1,Norway,0.953
127,48,Oman,0.821
128,150,Pakistan,0.562
129,60,Palau,0.7979999999999999
130,119,Palestinian Territories,0.6859999999999999
131,66,Panama,0.789
132,153,Papua New Guinea,0.544
133,110,Paraguay,0.7020000000000001
134,89,Peru,0.75
135,113,Philippines,0.6990000000000001
136,33,Poland,0.865
137,41,Portugal,0.847
138,37,Qatar,0.856
139,52,Romania,0.8109999999999999
140,49,Russia,0.816
141,158,Rwanda,0.524
142,72,Saint Kitts and Nevis,0.778
143,90,Saint Lucia,0.747
144,99,Saint Vincent and the Grenadines,0.723
145,104,Samoa,0.713
146,143,Sao Tome and Principe,0.589
147,39,Saudi Arabia,0.853
148,164,Senegal,0.505
149,67,Serbia,0.787
150,62,Seychelles,0.797
151,184,Sierra Leone,0.419
152,9,Singapore,0.932
153,38,Slovakia,0.855
154,25,Slovenia,0.8959999999999999
155,152,Solomon Islands,0.546
156,113,South Africa,0.6990000000000001
157,187,South Sudan,0.38799999999999996
158,26,Spain,0.8909999999999999
159,76,Sri Lanka,0.77
160,167,Sudan,0.502
161,100,Suriname,0.72
162,7,Sweden,0.9329999999999999
163,2,Switzerland,0.9440000000000001
